datetime,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11,Lag12,Target
2014-01-01,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,9631.132716049404,-1079.080246913587,2465.841049382714,-20053.65432098765,1203.762345679046,-8823.612654320961,6968.410493827159,7497.081790123455,12168.290123456767
2014-10-01,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,9631.132716049404,-1079.080246913587,2465.841049382714,-20053.65432098765,1203.762345679046,-8823.612654320961,6968.410493827159,13355.493827160502
2014-11-01,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,9631.132716049404,-1079.080246913587,2465.841049382714,-20053.65432098765,1203.762345679046,-8823.612654320961,-6273.820987654333
2014-12-01,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,9631.132716049404,-1079.080246913587,2465.841049382714,-20053.65432098765,1203.762345679046,-8176.320987654326
2014-02-01,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,9631.132716049404,-1079.080246913587,2465.841049382714,-20053.65432098765,-17933.862654320998
2014-03-01,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,9631.132716049404,-1079.080246913587,2465.841049382714,5812.466049382772
2014-04-01,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,9631.132716049404,-1079.080246913587,1453.753086419756
2014-05-01,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,9631.132716049404,15391.04938271606
2014-06-01,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,12604.35030864198
2014-07-01,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,9810.919753086437
2014-08-01,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-17961.473765432063
2014-09-01,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,562.1975308642068
2015-01-01,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,2581.790123456798
2015-10-01,2581.790123456798,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,-6561.214506172841
2015-11-01,-6561.214506172841,2581.790123456798,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,14156.095679012324
2015-12-01,14156.095679012324,-6561.214506172841,2581.790123456798,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-13975.404320987667
2015-02-01,-13975.404320987667,14156.095679012324,-6561.214506172841,2581.790123456798,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-5034.404320987655
2015-03-01,-5034.404320987655,-13975.404320987667,14156.095679012324,-6561.214506172841,2581.790123456798,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,9540.924382716055
2015-04-01,9540.924382716055,-5034.404320987655,-13975.404320987667,14156.095679012324,-6561.214506172841,2581.790123456798,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,3232.9197530864712
2015-05-01,3232.9197530864712,9540.924382716055,-5034.404320987655,-13975.404320987667,14156.095679012324,-6561.214506172841,2581.790123456798,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,-3912.325617283939
2015-06-01,-3912.325617283939,3232.9197530864712,9540.924382716055,-5034.404320987655,-13975.404320987667,14156.095679012324,-6561.214506172841,2581.790123456798,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,-14330.14969135799
2015-07-01,-14330.14969135799,-3912.325617283939,3232.9197530864712,9540.924382716055,-5034.404320987655,-13975.404320987667,14156.095679012324,-6561.214506172841,2581.790123456798,562.1975308642068,-17961.473765432063,9810.919753086437,477.1280864197797
2015-08-01,477.1280864197797,-14330.14969135799,-3912.325617283939,3232.9197530864712,9540.924382716055,-5034.404320987655,-13975.404320987667,14156.095679012324,-6561.214506172841,2581.790123456798,562.1975308642068,-17961.473765432063,2943.609567901221
