datetime,Lag1_x,Lag2_x,Lag1_y,Lag2_y,Lag3,Lag4,Lag5,Lag6,Lag7,Lag8,Lag9,Lag10,Lag11,Lag12,Target
2014-01-01,-1.572530864197536,-5.975308641975263,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,9631.132716049404,-1079.080246913587,2465.841049382714,-20053.65432098765,1203.762345679046,-8823.612654320961,6968.410493827159,7497.081790123455,12168.290123456767
2014-10-01,-1.3225308641975864,-1.572530864197536,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,9631.132716049404,-1079.080246913587,2465.841049382714,-20053.65432098765,1203.762345679046,-8823.612654320961,6968.410493827159,13355.493827160502
2014-11-01,-2.091049382715987,-1.3225308641975864,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,9631.132716049404,-1079.080246913587,2465.841049382714,-20053.65432098765,1203.762345679046,-8823.612654320961,-6273.820987654333
2014-12-01,1.8024691358024767,-2.091049382715987,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,9631.132716049404,-1079.080246913587,2465.841049382714,-20053.65432098765,1203.762345679046,-8176.320987654326
2014-02-01,-3.086419753086393,1.8024691358024767,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,9631.132716049404,-1079.080246913587,2465.841049382714,-20053.65432098765,-17933.862654320998
2014-03-01,2.2839506172839625,-3.086419753086393,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,9631.132716049404,-1079.080246913587,2465.841049382714,5812.466049382772
2014-04-01,-0.3364197530864059,2.2839506172839625,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,9631.132716049404,-1079.080246913587,1453.753086419756
2014-05-01,0.8533950617284005,-0.3364197530864059,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,9631.132716049404,15391.04938271606
2014-06-01,4.501543209876546,0.8533950617284005,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,-11967.691358024676,12604.35030864198
2014-07-01,0.4043209876543432,4.501543209876546,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-25976.580246913563,9810.919753086437
2014-08-01,1.580246913580242,0.4043209876543432,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,3949.35956790128,-17961.473765432063
2014-09-01,-0.1003086419752631,1.580246913580242,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,7028.364197530835,562.1975308642068
2015-01-01,-3.7808641975308506,-0.1003086419752631,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,12168.290123456767,2581.790123456798
2015-10-01,-1.655864197530844,-3.7808641975308506,2581.790123456798,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,13355.493827160502,-6561.214506172841
2015-11-01,-2.2577160493827293,-1.655864197530844,-6561.214506172841,2581.790123456798,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-6273.820987654333,14156.095679012324
2015-12-01,-4.572530864197523,-2.2577160493827293,14156.095679012324,-6561.214506172841,2581.790123456798,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-8176.320987654326,-13975.404320987667
2015-02-01,0.0385802469135498,-4.572530864197523,-13975.404320987667,14156.095679012324,-6561.214506172841,2581.790123456798,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,-17933.862654320998,-5034.404320987655
2015-03-01,2.3256172839505918,0.0385802469135498,-5034.404320987655,-13975.404320987667,14156.095679012324,-6561.214506172841,2581.790123456798,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,5812.466049382772,9540.924382716055
2015-04-01,2.663580246913594,2.3256172839505918,9540.924382716055,-5034.404320987655,-13975.404320987667,14156.095679012324,-6561.214506172841,2581.790123456798,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,1453.753086419756,3232.9197530864712
2015-05-01,1.436728395061715,2.663580246913594,3232.9197530864712,9540.924382716055,-5034.404320987655,-13975.404320987667,14156.095679012324,-6561.214506172841,2581.790123456798,562.1975308642068,-17961.473765432063,9810.919753086437,12604.35030864198,15391.04938271606,-3912.325617283939
